measure,interval_start,interval_end,ratio,numerator,denominator
all_migration_codes_excl_date_of_uk_entry,2009-01-01,2009-12-31,1.2338709677419355,153,124
all_migration_codes_excl_date_of_uk_entry,2010-01-01,2010-12-31,1.1904761904761905,150,126
all_migration_codes_excl_date_of_uk_entry,2011-01-01,2011-12-31,1.1544715447154472,142,123
all_migration_codes_excl_date_of_uk_entry,2012-01-01,2012-12-31,1.1652173913043478,134,115
all_migration_codes_excl_date_of_uk_entry,2013-01-01,2013-12-31,1.1967213114754098,146,122
all_migration_codes_excl_date_of_uk_entry,2014-01-01,2014-12-31,1.1346153846153846,177,156
all_migration_codes_excl_date_of_uk_entry,2015-01-01,2015-12-31,1.1102941176470589,151,136
all_migration_codes_excl_date_of_uk_entry,2016-01-01,2016-12-31,1.125,171,152
all_migration_codes_excl_date_of_uk_entry,2017-01-01,2017-12-31,1.0916030534351144,143,131
all_migration_codes_excl_date_of_uk_entry,2018-01-01,2018-12-31,1.103448275862069,160,145
all_migration_codes_excl_date_of_uk_entry,2019-01-01,2019-12-31,1.238709677419355,192,155
all_migration_codes_excl_date_of_uk_entry,2020-01-01,2020-12-31,1.2121212121212122,200,165
all_migration_codes_excl_date_of_uk_entry,2021-01-01,2021-12-31,1.3496932515337423,220,163
all_migration_codes_excl_date_of_uk_entry,2022-01-01,2022-12-31,1.2446808510638299,234,188
all_migration_codes_excl_date_of_uk_entry,2023-01-01,2023-12-31,1.343915343915344,254,189
all_migration_codes_excl_date_of_uk_entry,2024-01-01,2024-12-31,1.4751131221719458,326,221
all_migration_codes_excl_date_of_uk_entry,2025-01-01,2025-12-31,1.6651982378854626,378,227
all_migration_codes_incl_date_of_uk_entry,2009-01-01,2009-12-31,1.2338709677419355,153,124
all_migration_codes_incl_date_of_uk_entry,2010-01-01,2010-12-31,1.1904761904761905,150,126
all_migration_codes_incl_date_of_uk_entry,2011-01-01,2011-12-31,1.1544715447154472,142,123
all_migration_codes_incl_date_of_uk_entry,2012-01-01,2012-12-31,1.1652173913043478,134,115
all_migration_codes_incl_date_of_uk_entry,2013-01-01,2013-12-31,1.1967213114754098,146,122
all_migration_codes_incl_date_of_uk_entry,2014-01-01,2014-12-31,1.1346153846153846,177,156
all_migration_codes_incl_date_of_uk_entry,2015-01-01,2015-12-31,1.1102941176470589,151,136
all_migration_codes_incl_date_of_uk_entry,2016-01-01,2016-12-31,1.131578947368421,172,152
all_migration_codes_incl_date_of_uk_entry,2017-01-01,2017-12-31,1.0916030534351144,143,131
all_migration_codes_incl_date_of_uk_entry,2018-01-01,2018-12-31,1.103448275862069,160,145
all_migration_codes_incl_date_of_uk_entry,2019-01-01,2019-12-31,1.238709677419355,192,155
all_migration_codes_incl_date_of_uk_entry,2020-01-01,2020-12-31,1.2121212121212122,200,165
all_migration_codes_incl_date_of_uk_entry,2021-01-01,2021-12-31,1.3496932515337423,220,163
all_migration_codes_incl_date_of_uk_entry,2022-01-01,2022-12-31,1.2446808510638299,234,188
all_migration_codes_incl_date_of_uk_entry,2023-01-01,2023-12-31,1.343915343915344,254,189
all_migration_codes_incl_date_of_uk_entry,2024-01-01,2024-12-31,1.4751131221719458,326,221
all_migration_codes_incl_date_of_uk_entry,2025-01-01,2025-12-31,1.6651982378854626,378,227
